no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
383;DERSequenceGenerator(OutputStream);0;0;0;invisible;1;0;0;
384;DERSequenceGenerator(OutputStream,int,boolean);0;0;0;invisible;1;0;0;
385;BERTaggedObjectParser(int,int,InputStream);0;0;0;invisible;1;0;0;
386;BERConstructedSequence();0;0;0;invisible;1;0;0;
387;ConstructedOctetStream(ASN1StreamParser);0;0;0;invisible;1;0;0;
388;DERApplicationSpecific(boolean,int,byte[]);0;0;0;invisible;1;0;0;
389;DERApplicationSpecific(int,byte[]);0;0;0;invisible;1;0;0;
390;DERApplicationSpecific(int,DEREncodable);0;0;0;invisible;1;0;0;
391;DERApplicationSpecific(boolean,int,DEREncodable);0;0;0;invisible;1;0;0;
392;DERConstructedSequence();0;0;0;invisible;1;0;0;
393;BEROctetStringGenerator(OutputStream);0;0;0;invisible;1;0;0;
394;BEROctetStringGenerator(OutputStream,int,boolean);0;0;0;invisible;1;0;0;
395;BEROctetStringGenerator.BufferedBEROctetStream(byte[]);0;0;0;invisible;1;0;0;
396;BERConstructedOctetString(byte[]);0;0;0;invisible;1;0;0;
397;BERConstructedOctetString(Vector);0;0;0;invisible;1;0;0;
398;BERConstructedOctetString(DERObject);0;0;0;invisible;1;0;0;
399;BERConstructedOctetString(DEREncodable);0;0;0;invisible;1;0;0;
400;DefiniteLengthInputStream(InputStream,int);0;0;0;invisible;1;0;0;
401;IndefiniteLengthInputStream(InputStream);0;0;0;invisible;1;0;0;
402;LazyDERConstructionEnumeration(byte[]);0;0;0;invisible;1;0;0;
403;getInstance(Object):ASN1Set;0;0;0;invisible;1;0;0;
404;getInstance(ASN1TaggedObject,boolean):ASN1Set;0;0;0;invisible;1;0;0;
405;fromByteArray(byte[]):ASN1Object;0;0;0;invisible;1;0;0;
406;createSequence(ASN1EncodableVector):BERSequence;0;0;0;invisible;1;0;0;
407;createSet(ASN1EncodableVector):BERSet;0;0;0;invisible;1;0;0;
408;createSet(ASN1EncodableVector,boolean):BERSet;0;0;0;invisible;1;0;0;
409;getInstance(Object):DERBoolean;0;0;0;invisible;1;0;0;
410;getInstance(boolean):DERBoolean;0;0;0;invisible;1;0;0;
411;getInstance(ASN1TaggedObject,boolean):DERBoolean;0;0;0;invisible;1;0;0;
412;createSequence(ASN1EncodableVector):DERSequence;0;0;0;invisible;1;0;0;
413;createSet(ASN1EncodableVector):DERSet;0;0;0;invisible;1;0;0;
414;createSet(ASN1EncodableVector,boolean):DERSet;0;0;0;invisible;1;0;0;
415;getInstance(Object):DERInteger;0;0;0;invisible;1;0;0;
